Number,Question,Type,Answer,WrongAnswers,Passage,Points,Topic
471,What confession of faith in eternal life and resurrection did Job make?,Jumble,Job declared that even though he would die and his body decay he would be resurrected and see God.,,"Job 19:25,26",20,Millennium
472,Who will be resurrected?,Jumble,Both the righteous and the wicked--the righteous to receive eternal life and the wicked to receive eternal punishment,,"John 5:28,29",20,Millennium
473,"Which chapter of the Bible is known as the ""resurrection chapter""?",MultipleChoice,1 Corinthians 15,John 11|1 Corinthians 15|Philippians 3|Isaiah 5,,20,Millennium
474,"In First Corinthians chapter 15, what illustration does Paul use to explain the resurrection of Christians?",Jumble,The sprouting of a new plant from a seed,,1 Corinthians 15:36-44,20,Millennium
475,There are over how many references in the New Testament to the second coming of Christ?,MultipleChoice,[Over] 300,"[Over] 10,00|[Under] 12|Exactly 30|Zero",,20,Millennium
476,When will Christians who have died be resurrected?,Jumble,At the rapture of the Church,,"1 Thessalonians 4:16,17",20,Millennium
477,Jesus said that the age or time of His return will be like the days of whom?,MultipleChoice,Noah and Lot,Noah and Moses|John and Peter|Elisha and Elijah|Bob and Billy,Luke 17:26-28,20,Millennium
478,"What do we mean when we speak of the ""Revelation"" of Christ?",Jumble,His return to earth to rule and reign for one thousand years following the Great Tribulation,,2 Thessalonians 2:8; Revelation 20:4-6,20,Millennium
479,What two great events comprise the second coming of Christ?,Jumble,The Rapture and Christ's revelation,,"1 Thessalonians 4:16,17; 2 Thessalonians 2:8",20,Millennium
480,Which of Jesus' parables tells us that some who claim to be Christians will be unprepared for His return?,Jumble,The Parable of the Five Wise and Five Foolish Bridesmaids,,Matthew 25:1-13,20,Millennium
